Date,Category,Title,Description
2011,CNN,,"In 2011, a deep GPU-based CNN called ""DanNet"" by Dan Ciresan, Ueli Meier, and Juergen Schmidhuber achieved human-competitive performance for the first time in computer vision contests."
2012,CNN,,"AlexNet (a GPU-based CNN by Alex Krizhevsky, Ilya Sutskever, and Geoffrey Hinton) wins the ImageNet Large Scale Visual Recognition Challenge (ILSVRC), demonstrating the power of deep convolutional neural networks (CNNs) for image classification."
2014,GAN,,"In 2014, this adversarial principle was used in a generative adversarial network (GAN) by Ian Goodfellow et al.[71] Here the environmental reaction is 1 or 0 depending on whether the first network's output is in a given set. This can be used to create realistic deepfakes."
2015,LSTM,,"In 2015, Rupesh Kumar Srivastava, Klaus Greff, and Schmidhuber used LSTM principles to create the Highway network, a feedforward neural network with hundreds of layers, much deeper than previous networks."
2015,CNN,,"A very deep CNN with over 100 layers by Kaiming He, Xiangyu Zhang, Shaoqing Ren, and Jian Sun of Microsoft won the ImageNet 2015 contest"
2015,,,"AlphaGo, developed by DeepMind, defeats a top professional Go player, a game long considered too complex for computers to master."
2017,,,"The Transformer architecture is introduced, revolutionizing natural language processing (NLP) and enabling more advanced language models."
2018,GAN,,"Nvidia's StyleGAN (2018)[75] is based on the Progressive GAN by Tero Karras, Timo Aila, Samuli Laine, and Jaakko Lehtinen.[76] Here the GAN generator is grown from small to large scale in a pyramidal fashion. StyleGANs improve consistency between fine and coarse details in the generator network."
2018 June,TRNS,,"OpenAI releases GPT-1, a language model showcasing the power of the Transformer."
2018 October,TRNS,,"Google AI releases BERT, another Transformer-based model that achieves state-of-the-art results on NLP tasks."
2019 February,TRNS,,OpenAI releases the larger and more powerful GPT-2.
2020 June,TRNS,,"OpenAI releases the even larger and more capable GPT-3, raising concerns and excitement about its human-like text generation."
2022 March,,,"OpenAI releases DALL-E, demonstrating image generation from text descriptions."
2022 July,,,"Midjourney (beta) popularizes artistic image generation, further fueling public interest in AI."
2022 November,TRNS,,"OpenAI releases ChatGPT, a powerful chatbot based on GPT-3.5, impressing users with its conversational ability."
2023 March,TRNS,,"OpenAI releases the anticipated GPT-4, pushing the boundaries of language models even further."
